RECORD CODE,CLIENT TYPE,CLIENT NUMBER,ACCOUNT NUMBER,SUBACCOUNT NUMBER,OPPOSITE PARTY CODE,PRODUCT GROUP CODE,EXCHANGE CODE,SYMBOL,EXPIRATION DATE,CURRENCY CODE,MOVEMENT CODE,BUY SELL CODE,QUANTTTY LONG SIGN,QUANTITY LONG,QUANTITY SHORT SIGN,QUANTITY SHORT,EXCH/BROKER FEE / DEC,EXCH/BROKER FEE / DC,EXCH/BROKER FEE CUR CODE,CLEARING FEE / DEC,CLEARING FEE D C,CLEARING FEE CUR CODE,COMMISSION,COMMISSION D C,COMMISSION CUR CODE,TRANSACTION DATE,FUTURE REFERENCE,TICKET NUMBER,EXTERNAL NUMBER,TRANSACTION PRICE / DEC,TRADER INITIALS,OPPOSITE TRADER ID,OPEN CLOSE CODE
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000004," ",0000000000,000000000240,D,USD,000000000120,D,USD,000000000000,D,JPY,20100820,001188,"0     ",687754,000092650000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000004," ",0000000000,000000000240,D,USD,000000000120,D,USD,000000000000,D,JPY,20100820,001208,"0     ",687842,000092600000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000004," ",0000000000,000000000240,D,USD,000000000120,D,USD,000000000000,D,JPY,20100820,001227,"0     ",687954,000092550000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000004," ",0000000000,000000000240,D,USD,000000000120,D,USD,000000000000,D,JPY,20100820,001232,"0     ",687988,000092450000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000004," ",0000000000,000000000240,D,USD,000000000120,D,USD,000000000000,D,JPY,20100820,001237,"0     ",688030,000092500000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000004," ",0000000000,000000000240,D,USD,000000000120,D,USD,000000000000,D,JPY,20100820,001239,"0     ",688052,000092500000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000004," ",0000000000,000000000240,D,USD,000000000120,D,USD,000000000000,D,JPY,20100820,001244,"0     ",688094,000092500000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000004," ",0000000000,000000000240,D,USD,000000000120,D,USD,000000000000,D,JPY,20100820,001311,"0     ",688998,000092250000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000005," ",0000000000,000000000300,D,USD,000000000150,D,USD,000000000000,D,JPY,20100820,000009,"0     ",767007,000091900000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000005," ",0000000000,000000000300,D,USD,000000000150,D,USD,000000000000,D,JPY,20100820,000010,"0     ",767035,000091900000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000005," ",0000000000,000000000300,D,USD,000000000150,D,USD,000000000000,D,JPY,20100820,000800,"0     ",681514,000093350000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000005," ",0000000000,000000000300,D,USD,000000000150,D,USD,000000000000,D,JPY,20100820,001153,"0     ",687546,000092750000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000005," ",0000000000,000000000300,D,USD,000000000150,D,USD,000000000000,D,JPY,20100820,001154,"0     ",687560,000092700000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000005," ",0000000000,000000000300,D,USD,000000000150,D,USD,000000000000,D,JPY,20100820,001163,"0     ",687598,000092650000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000005," ",0000000000,000000000300,D,USD,000000000150,D,USD,000000000000,D,JPY,20100820,001170,"0     ",687618,000092600000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000005," ",0000000000,000000000300,D,USD,000000000150,D,USD,000000000000,D,JPY,20100820,001171,"0     ",687634,000092550000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000005," ",0000000000,000000000300,D,USD,000000000150,D,USD,000000000000,D,JPY,20100820,001173,"0     ",687662,000092500000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000005," ",0000000000,000000000300,D,USD,000000000150,D,USD,000000000000,D,JPY,20100820,001174,"0     ",687682,000092450000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000005," ",0000000000,000000000300,D,USD,000000000150,D,USD,000000000000,D,JPY,20100820,001193,"0     ",687768,000092550000000,"      ","       ",O
315,"CL  ",1234,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000005," ",0000000000,000000000300,D,USD,000000000150,D,USD,000000000000,D,JPY,20100820,001194,"0     ",687772,000092500000000,"      ","       ",O
